company,location,title,job_category,avg_salary
Intuit,"San Diego, CA",Senior Marketing Data Analyst,Data Analyst,
Panda Restaurant Group,"Rosemead, CA","Data Analyst, HR",Data Analyst,
Blizzard,"Irvine, CA","Senior Data Analyst, Diablo IV Analytics",Data Analyst,
Providence Health & Services,"Anaheim, CA",Senior Data Analyst,Data Analyst,
Panda Restaurant Group,"Rosemead, CA","Senior Data Analyst, R&D",Data Analyst,
Western Alliance Bank,"Westlake Village, CA","Data Analyst, Business Reporting",Data Analyst,
Freeport-McMoRan,"Bagdad, AZ",Data Analyst,Data Analyst,
Zynga Inc.,California,Senior Data Analyst at Zynga Inc. California,Data Analyst,
Insight Global,"Irvine, CA",Insight Global,Data Scientist,
RHF,"Long Beach, CA",Data Analyst,Data Analyst,100000.0
Roth Staffing Companies,"Fountain Valley, CA","Data Analyst (Supply chain, SQL)",Data Analyst,
Double M Resources,"Brea, CA",Health Data Analyst,Data Analyst,
KPC Health Care Inc,"Anaheim, CA","Clinical Data Analyst, FT Days",Data Analyst,
Blue Shield of California,"Costa Mesa, CA",Data Analyst - Health,Data Analyst,
Fandango,"Los Angeles, CA",Data Analyst,Data Analyst,
FASTENER DISTRIBUTION HOLDINGS LLC.,"Commerce, CA",Data Analyst,Data Analyst,102500.0
County of Los Angeles,"Los Angeles, CA","STAFF ANALYST, HEALTH",Data Scientist,
Walt Disney World Resort,"Anaheim, CA",Senior Health Services Data Analyst,Data Analyst,
InStride,"Los Angeles, CA",Sr. Data Analyst,Data Analyst,102500.0
SynergisticIT,"San Diego, CA",Junior Data Analyst/Engineer - Remote,Data Analyst,
New American Funding,"Tustin, CA",Sr. Marketing Business Data Analyst,Data Analyst,120000.0
ByteDance,California,Procurement Data Analyst (Multiple Positions),Data Analyst,181178.5
SynergisticIT,"Altadena, CA",Junior Data Analyst,Data Analyst,
Royal Bank of Canada,"Los Angeles, CA",Data Analyst Senior - BIS,Data Analyst,124497.0
Double M Resources,"Brea, CA",Health Data Analyst,Data Analyst,
InSite Property Group,"Redondo Beach, CA",Data Analyst,Data Analyst,110000.0
Molina Healthcare,California,Data Analyst - CA ONLY,Data Analyst,
Blue Shield of California,"Woodland Hills, CA","Data Analyst - Health, Principal",Data Analyst,
Beck Oil Inc.,"Victorville, CA",Sr. Data Analyst,Data Analyst,
AmeriPharma,"Laguna Hills, CA",Pharmacy Data Analyst,Data Analyst,
E3R-Exceptional Employees for Exceptional Results,"San Diego, CA",Data-Analyst Solicitation,Data Scientist,110000.0
First American,"Santa Ana, CA",Senior GeoSpatial Data Analyst,Data Analyst,
Kinetic Personnel Group,"Orange, CA","Data Analyst (Health Plan, Provider)",Data Analyst,
Axos Bank,"San Diego, CA",Data Analyst,Data Analyst,
PPD-Pharmaceutical Product Development,"Carlsbad, CA",Financial Data Analyst,Data Analyst,
Community Health Group,"Chula Vista, CA",Informatics Data Analyst,Data Analyst,
"REGAL MEDICAL GROUP, INC","Los Angeles, CA",Project Coordinator / Data Analyst I,Data Analyst,54080.0
UC San Diego,"La Jolla, CA",Clinical Registry and Data Analyst - Hemophilia - 117935,Data Analyst,
Skyworks Solutions,"Irvine, CA",Marketing Data Analyst Co-Op- Winter/Spring,Data Analyst,
SynergisticIT,"Bakersfield, CA",Data Analyst,Data Analyst,
Intuit,"San Diego, CA",Software Engineer 2 - Audit Data Analyst,Data Analyst,
Ticketmaster,"Los Angeles, CA",HR Systems & Data Analyst,Data Analyst,
SUNSHINE ENTERPRISE USA LLC,"Orange, CA",Data Warehouse Reporting Analyst Sr.,Data Scientist,
Tiktok,"Los Angeles, CA",Artist Engagement Data Analyst - USDS,Data Analyst,
ClifyX,"Irvine, CA",Business System Analyst / Data Analyst,Data Analyst,
DIRECTV,"El Segundo, CA",Marketing Data Analyst,Data Analyst,
Disability Solutions,"Glendale, CA",Advanced Data Analyst,Data Analyst,
Soka University of America,"Aliso Viejo, CA",Financial Aid Data Analyst,Data Analyst,68000.0
CBRE,"North Las Vegas, NV",Sr Data Analyst - Real Estate,Data Analyst,
Hertz Car Rental,"Fresno, CA",Data Analyst,Data Analyst,
Booz Allen Hamilton,"Edwards AFB, CA",Flight Data Analyst,Data Analyst,
"MGA Entertainment, Inc.","Los Angeles, CA",Data Media Analyst,Data Scientist,125000.0
Heluna Health,"Los Angeles, CA","Senior Staff Analyst, Data Analytics and Reporting (N345)",Data Scientist,120912.0
"Crystal Stairs, Inc.","Los Angeles, CA",Data Coordinator,Data Scientist,
San Diego American Indian Health Center,"San Diego, CA",Data Analyst - On-Site,Data Analyst,
NEOGOV,"Los Angeles, CA",Sales Operations Data Analyst,Data Analyst,
Spotter,"Culver City, CA",Senior Data Analyst - Marketing Analytics,Data Analyst,160000.0
ASML,"San Diego, CA",Internship - Business Performance Engineering - Data Analyst,Data Analyst,61360.0
GoodRx,California,Lead Data Operations Analyst,Data Scientist,176000.0
Resource Informatics Group,"Irvine, CA",Lead QA Data Analyst - Warranty Model Lead,Data Analyst,
Ranker,"Los Angeles, CA",Data Journalist (Polling Analyst),Data Scientist,
Farm Credit Council,"Fresno, CA",Data Analyst,Data Analyst,
Audubon Companies,"Santa Barbara, CA",Inspection Data Analyst,Data Analyst,
ISPA Technology,"Port Hueneme, CA",Data Analyst,Data Analyst,97500.0
Booz Allen Hamilton,"Fort Irwin, CA","Information, Data, and Process Management Analyst NEW",Data Scientist,
Modesto City Schools,California,Data Analyst I - Assessment and Evaluation,Data Analyst,
KBR,"Camarillo, CA",Signals Intelligence/Link16 Data Analyst,Data Analyst,126500.0
Sedgwick,"Las Vegas, NV",Data Analyst Manager,Data Analyst,
Strategic Resources Inc,"San Diego, CA",Data and Information Technology Analyst,Data Scientist,
WomanHaven a Center For Family Solutions,"El Centro, CA",IT/ Data Analyst,Data Analyst,45760.0
Modern Technology Solutions,"Las Vegas, NV",Electronic Warfare Data Analyst,Data Analyst,
ISPA Technology,"Port Hueneme, CA",Data Analyst,Data Analyst,97500.0
Caesars Entertainment,"Las Vegas, NV",Data Analyst - Rotational Program (Las Vegas),Data Analyst,
Wilen Group,"Las Vegas, NV","Senior Data Analyst, Client Data Strategies",Data Analyst,
Applied Analysis,"Las Vegas, NV",Analyst (Data Visualization and Reporting),Data Scientist,
